Fall,Major Name,College,Total,Male,Female,Illinois
1980,Accountancy,Business,1529,928.0,601.0,75.0
1980,Advertising,Media,240,77.0,163.0,216.0
1980,Aero & Astro Engineering,Engineering,379,351.0,28.0,42.0
1980,Agr & Environmental Cmc & Educ,ACES,5,4.0,1.0,3.0
1980,Agricultural & Applied Econ,ACES,315,277.0,38.0,50.0
1980,Agricultural Communications,ACES,79,31.0,48.0,1.0
1980,Agricultural Education,ACES,26,21.0,5.0,0.0
1980,Agricultural Engineering,ACES,83,75.0,8.0,2.0
1980,Agricultural Engineering,Engineering,106,93.0,13.0,16.0
1980,Agricultural Sciences,ACES,81,57.0,24.0,0.0
1980,Agronomy,ACES,173,133.0,40.0,60.0
1980,Air Systems,Aviation,172,152.0,20.0,165.0
1980,Animal Sciences,ACES,487,245.0,242.0,36.0
1980,Anthropology,LAS,78,42.0,36.0,42.0
1980,Application Design,ACES,11,0.0,11.0,0.0
1980,Architectural Studies,Fine and Applied Arts,627,474.0,153.0,51.0
1980,Architecture,Fine and Applied Arts,186,154.0,32.0,61.0
1980,Art Education,Fine and Applied Arts,72,13.0,59.0,8.0
1980,Art History,Fine and Applied Arts,59,14.0,45.0,15.0
1980,Art and Design,Fine and Applied Arts,363,115.0,248.0,43.0
1980,Asian Studies,LAS,17,10.0,7.0,4.0
1980,Astronomy,LAS,16,13.0,3.0,14.0
1980,Atmospheric Sciences,LAS,22,17.0,5.0,15.0
1980,Avionics,Aviation,8,8.0,0.0,8.0
1980,BUS EDUC,Education,33,13.0,20.0,1.0
1980,Biochemistry,LAS,86,66.0,20.0,58.0
1980,Biology,Applied Health Sciences,19,10.0,9.0,0.0
1980,Biology,LAS,139,83.0,56.0,59.0
1980,Biophysics & Computnl Biology,LAS,21,18.0,3.0,13.0
1980,Business Administration,Business,1414,831.0,583.0,129.0
1980,CER ENGR,Engineering,156,125.0,31.0,16.0
1980,CERAMICS,Engineering,4,4.0,0.0,3.0
1980,CORE CURR,ACES,158,124.0,34.0,1.0
1980,Chemical Engineering,LAS,530,419.0,111.0,73.0
1980,Chemical Physics,LAS,6,5.0,1.0,5.0
1980,Chemistry,LAS,531,408.0,123.0,238.0
1980,Civil Engineering,Engineering,902,792.0,110.0,180.0
1980,Classical Philology,LAS,9,7.0,2.0,8.0
1980,Classics,LAS,9,8.0,1.0,7.0
1980,Communication,Media,27,12.0,15.0,10.0
1980,Community Health,Applied Life Sciences,46,18.0,28.0,15.0
1980,Comparative Literature,LAS,42,22.0,20.0,27.0
1980,Computer Engineering,Engineering,286,252.0,34.0,15.0
